"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
218/22,"Browar Wrzos Dominik Dembiński",43-450,Ustroń,"ul. dr Michała Grażyńskiego 23","WOJ. ŚLĄSKIE",2023-09-30
223/22,"""STOCK POLSKA""   Spółka z ograniczoną odpowiedzialnością",20-402,Lublin,"ul. Spółdzielcza 6","WOJ. LUBELSKIE",2023-09-30
224/22,"AN.KA WINES   Spółka z ograniczoną odpowiedzialnością",05-082,"Stare Babice, Blizne Łaszczyńskiego","ul. Batalionów Chłopskich 114","WOJ. MAZOWIECKIE",2023-09-15
226/22,"Breslauer Spirits Spółka z ograniczoną odpowiedzialnością",53-234,Wrocław,"ul. Grabiszyńska 235","WOJ. DOLNOŚLĄSKIE",2023-09-05
228/22,"""GRUPA CHORTEN""  Spółka z ograniczoną odpowiedzialnością",16-070,"Choroszcz, Łyski","ul. Usługowa 2","WOJ. PODLASKIE",2023-09-30
229/22,"EUROCASH SERWIS  Spółka z ograniczoną odpowiedzialnością",62-052,Komorniki,"ul. Wiśniowa 11","WOJ. WIELKOPOLSKIE",2023-09-30
231/22,"Monika Atamańczuk ""Mały Kogut""",70-477,Szczecin,"Al. Wojska Polskiego 56/56","WOJ. ZACHODNIOPOMORSKIE",2023-10-01
232/22,"HETMAN UA Spółka z ograniczoną odpowiedzialnością",35-105,Rzeszów,"ul. Przemysłowa 6","WOJ. PODKARPACKIE",2023-09-01
233/22,"SIGMA-HURT Spółka  z ograniczoną odpowiedzialnością",80-299,Gdańsk,"ul. Wodnika 50","WOJ. POMORSKIE",2023-09-30
235/22,"AZERSMAK Spółka z ograniczoną odpowiedzialnością",00-666,Warszawa,"ul. Stanisława Noakowskiego 16/LU1","WOJ. MAZOWIECKIE",2023-09-30
236/22,"""ROZTOCZE""  Mieczysław, Marek i Tomasz Szaluś   Spółka Jawna  Hurtownia Piwa, Wina i Napojów Chłodzących",22-600,"Tomaszów Lubelski","ul. Lwowska   126 H ","WOJ. LUBELSKIE",2023-09-09
237/22,"""SPOŁEM"" Powszechna Spółdzielnia Spożywców ""ZGODA"" w Płocku",09-402,Płock,"ul. Sienkiewicza 32","WOJ. MAZOWIECKIE",2023-09-17
238/22,"LIDER-POLKA Spółka z ograniczoną odpowiedzialnością",32-020,Wieliczka,"Sygneczów 1/1","WOJ. MAŁOPOLSKIE",2023-09-19
239/22,"""STAMPOL-TRADE STANKIEWICZ""  Spółka Komandytowa",24-300,"Opole Lubelskie","ul. Przemysłowa 42","WOJ. LUBELSKIE",2023-09-30
240/22,"Dariusz Gustab Agencja Reklamy i Promocji Everest",58-303,Wałbrzych,"ul. Niepodległości 114","WOJ. DOLNOŚLĄSKIE",2023-09-09
241/22,"100 TON Spółka z ograniczoną odpowiedzialnością",00-019,Warszawa,"ul. Złota 7/18","WOJ. MAZOWIECKIE",2023-09-09
242/22,"PRIMA SERWIS SZCZECIN  Spółka z ograniczoną odpowiedzialnością   Spółka Komandytowa",70-846,Szczecin,"ul. Kniewska 2 k ","WOJ. ZACHODNIOPOMORSKIE",2023-09-30
243/22,"Patrona Zabatani - Spółka z ograniczoną odpowiedzialnością",42-504,Będzin,"ul. Dąbrowska 207","WOJ. ŚLĄSKIE",2023-10-01
244/22,"PMP  Wino Serwis  Spółka z ograniczoną odpowiedzialnością",47-303,Krapkowice,"ul. Kilińskiego    1","WOJ. OPOLSKIE",2023-09-30
245/22,"LE BARBATELLE Spółka z ograniczoną odpowiedzialnoscią",00-837,Warszawa,"ul. Pańska 98/101","WOJ. MAZOWIECKIE",2023-10-01
246/22,"ARMSPIRIT Spółka z ograniczoną odpowiedzialnością",53-622,Wrocław,"ul. Zachodnia  50/22","WOJ. DOLNOŚLĄSKIE",2023-10-02
247/22,"ML SPIRITS  Spółka z ograniczoną odpowiedzialnością",40-074,Katowice,"ul. Marcina Szeligiewicza 2/3","WOJ. ŚLĄSKIE",2023-09-13
248/22,"""ICE-FULL DYSTRYBUCJA""    Spółka z ograniczoną odpowiedzialnością",97-200,"Tomaszów Mazowiecki","ul. Główna 71 ","WOJ. ŁÓDZKIE",2023-09-30
249/22,"Alkohole Kraftowe Spółka z ograniczoną odpowiedzialnością",08-200," Łosice","ul. Leśna 10A","WOJ. MAZOWIECKIE",2023-10-02
250/22,"""DINO POLSKA""  Spółka Akcyjna",63-700,Krotoszyn,"ul. Ostrowska 122 ","WOJ. WIELKOPOLSKIE",2023-11-01
251/22,"Monard Dorota Rutkowska",73-108,Kobylanka,"ul. Osiedle Zalesie 76","WOJ. ZACHODNIOPOMORSKIE",2023-10-03
252/22,"Przedsiębiorstwo Usługowo - Handlowe  ""CHEMIROL""   Spółka z ograniczoną odpowiedzialnością",88-300,Mogilno,"ul. Przemysłowa 3 ","WOJ. KUJAWSKO-POMORSKIE",2023-10-31
253/22,"DMS BARRELS Spółka z ograniczoną odpowiedzialnością",15-501,Białystok,"ul. Baranowicka 117","WOJ. PODLASKIE",2023-10-07
