"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
201/23,"Breslauer Spirits Spółka z ograniczoną odpowiedzialnością",53-234,Wrocław,"ul. Grabiszyńska 235","WOJ. DOLNOŚLĄSKIE",2024-09-05
207/23,"HETMAN UA Spółka z ograniczoną odpowiedzialnością",35-309,Rzeszów,"Al. mjr. Wacława Kopisto 8B/501","WOJ. PODKARPACKIE",2024-09-02
214/23,"""STOCK POLSKA""   Spółka z ograniczoną odpowiedzialnością",20-402,Lublin,"ul. Spółdzielcza 6","WOJ. LUBELSKIE",2024-09-30
215/23,"""GRUPA CHORTEN""  Spółka z ograniczoną odpowiedzialnością",16-070,"Choroszcz, Łyski","ul. Usługowa 2","WOJ. PODLASKIE",2024-09-30
217/23,"Browar Wrzos Dominik Dembiński",43-450,Ustroń,"ul. dr Michała Grażyńskiego 23","WOJ. ŚLĄSKIE",2024-09-30
218/23,"""PANASIA POLSKA""  Spółka z ograniczoną odpowiedzialnością",05-850,"Ożarów Mazowiecki","ul. Sochaczewska 108","WOJ. MAZOWIECKIE",2024-09-03
219/23,"""ROZTOCZE""  Mieczysław, Marek i Tomasz Szaluś   Spółka Jawna  Hurtownia Piwa, Wina i Napojów Chłodzących",22-600,"Tomaszów Lubelski","ul. Lwowska   126 H ","WOJ. LUBELSKIE",2024-09-10
221/23,"AN.KA WINES   Spółka z ograniczoną odpowiedzialnością",05-082,"Stare Babice, Blizne Łaszczyńskiego","ul. Batalionów Chłopskich 114","WOJ. MAZOWIECKIE",2024-09-15
222/23,"""SPOŁEM"" Powszechna Spółdzielnia Spożywców ""ZGODA"" w Płocku",09-402,Płock,"ul. Sienkiewicza 32","WOJ. MAZOWIECKIE",2024-09-17
229/23,"PROFIT MARKET Spółka z ograniczoną odpowiedzialnością",42-772,Pawonków,"ul. Zawadzkiego 12A","WOJ. ŚLĄSKIE",2024-09-14
230/23,"""STAMPOL-TRADE STANKIEWICZ""  Spółka Komandytowa",24-300,"Opole Lubelskie","ul. Przemysłowa 42","WOJ. LUBELSKIE",2024-09-30
231/23,"LE BARBATELLE Spółka z ograniczoną odpowiedzialnoscią",00-837,Warszawa,"ul. Pańska 98/101","WOJ. MAZOWIECKIE",2024-10-02
235/23,"DMS BARRELS Spółka z ograniczoną odpowiedzialnością",15-501,Białystok,"ul. Baranowicka 117","WOJ. PODLASKIE",2024-10-07
237/23,"PMP  Wino Serwis  Spółka z ograniczoną odpowiedzialnością",47-303,Krapkowice,"ul. Kilińskiego 1","WOJ. OPOLSKIE",2024-09-30
238/23,"EUROCASH SERWIS  Spółka z ograniczoną odpowiedzialnością",62-052,Komorniki,"ul. Wiśniowa 11","WOJ. WIELKOPOLSKIE",2024-09-30
239/23,"Dariusz Gustab Agencja Reklamy i Promocji Everest",58-303,Wałbrzych,"ul. Niepodległości 114","WOJ. DOLNOŚLĄSKIE",2024-09-10
240/23,"""ICE-FULL DYSTRYBUCJA""    Spółka z ograniczoną odpowiedzialnością",97-200,"Tomaszów Mazowiecki","ul. Główna 71 ","WOJ. ŁÓDZKIE",2024-09-30
241/23,"MBrovar Polska Spółka z ograniczoną odpowiedzialnością",62-030,Luboń,"ul. Krótka 8","WOJ. WIELKOPOLSKIE",2024-10-10
242/23,"""DINO POLSKA""  Spółka Akcyjna",63-700,Krotoszyn,"ul. Ostrowska 122 ","WOJ. WIELKOPOLSKIE",2024-11-01
243/23,"Monika Atamańczuk ""Mały Kogut""",70-477,Szczecin,"Al. Wojska Polskiego 56/56","WOJ. ZACHODNIOPOMORSKIE",2024-10-02
244/23,"ML SPIRITS  Spółka z ograniczoną odpowiedzialnością",40-074,Katowice,"ul. Marcina Szeligiewicza 2/3","WOJ. ŚLĄSKIE",2024-09-13
245/23,"MONARD Dorota Rutkowska",73-108,Kobylanka,"ul. Osiedle Zalesie 76","WOJ. ZACHODNIOPOMORSKIE",2024-10-03
246/23,"LIDER-POLKA Spółka z ograniczoną odpowiedzialnością",32-020,Sygneczów,"Sygneczów 1/1","WOJ. MAŁOPOLSKIE",2024-09-19
247/23,"PRIMA SERWIS SZCZECIN  Spółka z ograniczoną odpowiedzialnością   Spółka Komandytowa",70-846,Szczecin,"ul. Kniewska 2K ","WOJ. ZACHODNIOPOMORSKIE",2024-09-30
248/23,"Hurtownia ""KIM"" Kazimierz Krzemiński, Marek Krzemiński, Andrzej Chrząszcz  Spólka Jawna",28-100,Busko-Zdrój,"ul. Bohaterów Warszawy 106","WOJ. ŚWIĘTOKRZYSKIE",2024-09-26
249/23,"GO2 WORK Spółka  z ograniczoną odpowiedzialnością",50-062,Wrocław,"Pl. Solny 14/3","WOJ. DOLNOŚLĄSKIE",2024-09-30
250/23,"POLSKI MNISZEK Spółka  z ograniczoną odpowiedzialnością",08-110,Siedlce,"ul. Garwolińska 5","WOJ. MAZOWIECKIE",2024-09-30
251/23,"MAG DYSTRYBUCJA  Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",10-467,Olsztyn,"ul.Sprzętowa 2 ","WOJ. WARMIŃSKO-MAZURSKIE",2024-10-03
252/23,"Handel Obwoźny Artykułami Spożywczymi Zofia Ewa Olszewska",01-948,Warszawa,"ul. Tomasza Nocznickiego 13/30","WOJ. MAZOWIECKIE",2024-10-01
253/23,"DRINKS GROUP Spółka z ograniczoną odpowiedzialnością",30-390,Kraków,"ul. Zawiła 61","WOJ. MAŁOPOLSKIE",2024-10-04
254/23,"Przedsiębiorstwo Wielobranżowe ""REGO""  Włodzimierz  Stefaniak",62-510,Konin,"ul. Ślesińska  23 B ","WOJ. WIELKOPOLSKIE",2024-09-30
255/23,"WHISKY AND MORE Spółka z ograniczoną odpowiedzialnością",40-048,Katowice,"ul. Tadeusza Kościuszki 43/10","WOJ. ŚLĄSKIE",2024-09-21
256/23,"SWOJANKA Spółka z ograniczoną odpowiedzialnością",08-206,Huszlew,"Zienie 31","WOJ. MAZOWIECKIE",2024-11-01
257/23,"Gospodarstwo Rolne ""Winnica Kudla""  Tomasz Kudla",62-080,"Tarnowo Podgórne, Jankowice","ul. Ogrodowa 12","WOJ. WIELKOPOLSKIE",2024-09-30
258/23,"Przedsiębiorstwo Handlowo-Usługowe BARBARA JANIAK Spółka Komandytowa",62-800,Kalisz,"ul. Piwonicka 1 C","WOJ. WIELKOPOLSKIE",2024-10-14
259/23,"P.P.U.H.  ""WARMET""  Spółka z ograniczoną odpowiedzialnością",07-130,Łochów,"Al. Łochowska 4 ","WOJ. MAZOWIECKIE",2024-10-16
260/23,"SILESIA DISTILLERY Spółka z ograniczoną odpowiedzialnością",41-403,"Chełm Śląski","ul. Ludowa 6","WOJ. ŚLĄSKIE",2024-10-14
261/23,"ALKOSWIAT Spółka z ograniczoną odpowiedzialnością",43-300,Bielsko-Biała,"ul. Wincentego Witosa 170","WOJ. ŚLĄSKIE",2024-09-30
262/23,"hBp-Likvor Spółka.Cywilna  Robert Prajs, Jan Budka",62-045,Pniewy,"ul. Współna 2","WOJ. WIELKOPOLSKIE",2024-09-30
263/23,"Piotr Wojtala",05-660,Warska,"ul. Grójecka 129","WOJ. MAZOWIECKIE",2024-12-15
264/23,"Przedsiębiorstwo Produkcyjno-Handlowe   ""ZDRÓJ""   Eugeniusz Owczarczyk",08-450,Łaskarzew,"Stary Pilczyn 30 ","WOJ. MAZOWIECKIE",2024-10-11
265/23,"PINOT   Spółka z ograniczoną odpowiedzialnością    Spółka komandytowa",90-106,Łódź,"ul. Traugutta 5 ","WOJ. ŁÓDZKIE",2024-10-24
266/23,"TUDOR  HOUSE  Ltd.   Spółka z ograniczoną odpowiedzialnością",02-856,Warszawa,"ul. Ludwinowska  1/37 ","WOJ. MAZOWIECKIE",2024-10-14
267/23,"ALCO-TRADE Spółka z ograniczoną odpowiedzialnością",62-230,Witkowo,"Kołaczkowo 9 ","WOJ. WIELKOPOLSKIE",2024-10-31
268/23,"Winnice Jaworek Spółka z ograniczoną odpowiedzialnością",55-330,Miękinia,"ul. Kościuszki 48A","WOJ. DOLNOŚLĄSKIE",2024-10-14
269/23,"MOJA GRUZJA Spółka z ograniczoną odpowiedzialnością",80-460,Gdańsk,"ul. Pilotów 3/lok. 6","WOJ. POMORSKIE",2024-10-07
270/23,"Mikrogorzelnia Spółka z ograniczoną odpowiedzialnością",04-987,Warszawa,"Wał Miedzeszyński 131B","WOJ. MAZOWIECKIE",2024-11-30
271/23,"TOP WINA ŚWIATA Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa",78-100,Kołobrzeg,"ul. Grzybowska 25F","WOJ. ZACHODNIOPOMORSKIE",2024-10-20
272/23,"FRISCO Spółka Akcyjna",03-840,Warszawa,"ul. Grochowska 306/308","WOJ. MAZOWIECKIE",2024-11-30
273/23,"Przedsiębiorstwo Usługowo - Handlowe  ""CHEMIROL""   Spółka z ograniczoną odpowiedzialnością",88-300,Mogilno,"ul. Przemysłowa 3 ","WOJ. KUJAWSKO-POMORSKIE",2024-10-31
274/23,"PREMIUM Spółka Cywilna Dariusz Kostko, Karol Wojciechowski",15-776,Białystok,"ul. Konstytucji 3 Maja 24/9","WOJ. PODLASKIE",2024-10-30
